CUSTOMER_ID,CUSTOMER_NAME,CUSTOMER_ADDRESS1,CUSTOMER_ADDRESS2,CUSTOMER_CITY,CUSTOMER_STATE,CUSTOMER_COUNTRY,CUSTOMER_ZIPCODE,CREATED_BY,CREATION_DATE,LAST_UPDATED_BY,LAST_UPDATE_DATE
70,CHUBU ELECTRIC POWER COMPANY,INCORPORATED,23, KITAHAMAMACHI,,CHITA,AICHI,JAPAN,478-0046,TALEND_2017_06_23_09_02_36,4/16/2012,ADMIN,4/16/2012
71,CHUGOKU ELECTRIC POWER COMPANY, INCORPORATED, THE,,,,,,,ETL_CM_20130209232725,4/16/2012,ADMIN,4/16/2012
72,CITY OF BURBANK,164 W MAGNOLIA BLVD,,BURBANK,CA,UNITED STATES,915021720,TALEND_2017_06_23_09_02_36,4/16/2012,ADMIN,4/16/2012
73,CITY OF LOS ANGELES,9430 SAN FERNANDO RD,,SUN VALLEY,CA,UNITED STATES,91352-1420,TALEND_2017_06_23_09_02_36,4/16/2012,ADMIN,4/16/2012
74,CITY OF VERO BEACH,100 17TH ST,,VERO BEACH,FL,UNITED STATES,329605677,TALEND_2017_06_23_09_02_36,4/16/2012,ADMIN,4/16/2012
75,CITY PUBLIC SERVICE BOARD OF SAN ANTONIO,15290 STREICH RD,,ELMENDORF,TX,UNITED STATES,78112-9672,TALEND_2017_06_23_09_02_36,4/16/2012,ADMIN,4/16/2012
76,CLARK PUBLIC UTILITIES,5201 NW LOWER RIVER RD,,VANCOUVER,WA,UNITED STATES,98660-1047,TALEND_2017_06_23_09_02_36,4/16/2012,ADMIN,4/16/2012
77,CLP POWER HONG KONG LIMITED,YUNG LONG ROAD, LUNG KWU TAN,  TUEN MUN,BLACK POINT POWER STATION,NEW TERRITORIES,,HONG KONG,,TALEND_2017_06_23_09_02_36,4/16/2012,ADMIN,4/16/2012
78,COGEN SELKIRK PARTNERS L P,24 POWER PARK DR,,SELKIRK,NY,UNITED STATES,121582206,TALEND_2017_06_23_09_02_36,4/16/2012,ADMIN,4/16/2012
79,COLBUN SA,FUNDO EL MANCO BAJO LOTE 3B,BYPASS, REG 8,CORONEL,,CHILE,,TALEND_2017_06_23_09_02_36,4/16/2012,ADMIN,4/16/2012
80,COLUMBUS SOUTHERN POWER COMPANY,201 RIGHTEOUS RIDGE RD,,WATERFORD,OH,UNITED STATES,457866328,TALEND_2017_06_23_09_02_36,4/16/2012,ADMIN,4/16/2012
81,COMISION FEDERAL DE ELECTRICIDAD,CARR. PANAMERICANA KM. 166.5 SUECO CD JUAREZ,CENTRAL TERMOELECTRICA SAMALAYUCA,SAMALAYUCA D.B.,CHIHUAHUA,MEXICO,32730,TALEND_2017_06_23_09_02_36,4/16/2012,ADMIN,4/16/2012
82,COMPANIA DE GENERACION VALLADOLID S DE RL DE CV,CARRETERA FEDERAL 180 KM 8 ABV,,TRAMO VALLADOLID-MERIDA,YUCAT?N,MEXICO,ZC 97780,TALEND_2017_06_23_09_02_36,4/16/2012,ADMIN,4/16/2012
84,COMPANIA ESPANOLA DE PETROLEOS SA,POLIGONO NUEVO PUERTO, S/N,,PALOS DE LA FRONTERA,HUELVA,SPAIN,21810,TALEND_2017_06_23_09_02_36,4/16/2012,ADMIN,4/16/2012
